Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,Total Value Added,2345798397,2413182393,2482483855,2553736359,2627172195,2702559685,2780000928,2860395091,2941953465,2453247358,2225573162,2286356598,2351731170,2392038998,2357344601,2415437990,2490368765,2471688521,2546642928,3042908865,2255940667,1666882180,1571477960,1766563012,1954711049,2491486764,2993497781,2045982752,2251522121,2876608289,3076532723,3510427047,3872708250,4891041595,6300235705,7044081823,7698662944,9303537708,11167790304,10421308345,10366750585,11210779104,10673901141,11145145903,11545720516,10000872752,10400973317,11372719563,13256489000,13463704665,13295819443,15593915106,16526897671,20087836538
Algeria,Final consumption expenditure,3761949657,4073370778,5240731774,6286330268,7575204729,9987282720,10856084098,13561822338,16517764413,19724272699,24124538112,26319048574,27499420402,29432572720,33166021272,36945989457,44533265751,43916010359,47233474546,44221412112,45090281483,29638017751,33588972337,37299867886,31431928296,30542890239,31805127824,32770992725,35094159877,33277789481,30234809059,32034196154,33755565805,37519515963,44655726808,46657770810,50249379359,58488702946,74196166781,73688577593,83097969846,103696510707,109684113910,112849091074,120060948870,103854566587,101466438562,104632051545,103673989217,110666173916,105833259418,115088463536,122061029291,143925046044
Algeria,Household consumption expenditure (including Non-profit institutions serving households),3075658475,3283845033,4227999563,5150998513,6156985600,7968930959,8635447425,10767005675,12836748567,15187693995,18299881651,20212434430,20822622493,22187691933,25266262935,27807459304,33284925208,31957012896,36220189231,34916886975,35035025835,22698364424,25127202349,27824291085,23903232817,23404826058,24400709308,24802371170,26519788286,25112061765,22791834049,23945327845,24965176210,27473362450,32903179475,34841139764,37105370129,42772650392,51612593446,51535467767,55327180143,62357632168,67207417719,72696219150,77746353321,68068871664,68035513137,72397971519,73488065509,77760547997,75959726906,82644420819,87008504400,103081652308
Algeria,General government final consumption expenditure,686291181,789525746,1012732211,1135331755,1418219129,2018351761,2220636673,2794816662,3681015846,4536578704,5824656461,6106614145,6676797909,7244880786,7899758337,9138530153,11248340543,11958997464,11013285315,9304525136,10055255648,6939653327,8461769988,9475576801,7528695479,7138064181,7404418517,7968621556,8574371590,8165727716,7442975010,8088868309,8790389595,10046153513,11752547333,11816631046,13144009230,15716052554,22583573335,22153109826,27770789703,41338878539,42476696191,40152871924,42314595549,35785694923,33430925425,32234080026,30185923707,32905625919,29873532511,32444042718,35052524890,40843393737
Algeria,Gross capital formation,1707118032,1742067720,2244082459,3387806896,5262360793,7024899232,7641632494,9809221484,13726504134,14078595559,16494804238,16357841155,16785532144,18276620517,18505370860,19181139939,23081616935,19292503244,16519643785,16866809381,17826064808,14390564486,14596640991,14352721152,13302457020,13236714481,11734818260,11181890814,13131779333,12724029590,12840768704,15079491271,17544290770,20590341944,28384617680,32668852381,35307669066,46525901831,63866085088,64319663581,66788657989,76117398069,81863937123,91013952656,97399924008,84285388788,81261739742,82571435609,82331765378,80167671314,69660562581,70633826415,81183439550,95638810449
Algeria,Gross fixed capital formation (including Acquisitions less disposals of valuables),1580951884,1624247817,2094509063,2997400725,4057643557,6070527154,7531053206,9268199816,12806671863,13073317905,14301418475,14607918200,15567288335,16772253649,17554762673,18450408397,21549582288,19151527994,15510901598,15219184655,15838840295,11680830121,12730030014,13884310371,11624708109,11367914170,11679620193,11057859143,12406650248,11863492817,11329139294,12503559645,13946813025,16346855852,20495271691,23085774085,27110111804,35532387390,49987662350,52464619871,58491157944,63345775732,64388337627,71702269417,80004602522,70137644338,68933842314,69367833111,70426294425,68851894797,61104173579,64917293892,68003022844,82164494601
Algeria,Changes in inventories,126166148,117819903,149573395,390406170,1204717236,954372077,110579288,541021668,919832272,1005277655,2193385763,1749922955,1218243809,1504366868,950608187,730731542,1532034647,140975250,1008742186,1647624725,1987224514,2709734364,1866610977,468410780,1677748911,1868800310,55198067,124031671,725129084,860536773,1511629410,2575931627,3597477745,4243486092,7889345988,9583078296,8197557262,10993514440,13878422738,11855043710,8297500044,12771622337,17475599496,19311683239,17395321487,14147744450,12327897427,13203602497,11905470953,11315776518,8556389002,5716532523,13180416706,13474315848
Algeria,Exports of goods and services,1140783357,986534285,1460328062,2344366326,5108013455,5233153976,5838077775,6389292999,6714630548,10333857716,14509037876,15300630155,13954110635,13614779000,13552508626,13619701354,8214625194,9429762060,8417298905,10236372185,14435302932,13315922771,12167794316,10783150460,9749531862,11158818128,14245882637,14475663745,11079600151,13661899845,22998828469,20040706253,20107618985,25957128354,34178426090,48714917293,57121819162,63531235749,82034752287,48533798747,61975420549,77581317710,77123040533,69659422390,64611489633,38460337092,33403117359,38496792539,45233753184,40746808590,27772676492,49787898582,69082757807,61256566724
Algeria,Imports of goods and services,1422482735,1409560405,1734974761,2762591632,4693985906,6702778245,6596991823,8786165938,10607537539,10950911501,12892043835,13726314621,13152171129,12623295026,12386365606,11858902040,10832865515,8246746872,13469697186,15955206263,15572358905,10766885407,11227240829,11559450130,12141445242,12961479667,10928753146,10333259951,11199866836,11110078030,11394592942,12085932126,14587148839,16203134635,21886254148,24843324417,25651591024,33568752129,49096310473,49331031500,50654742078,57376123473,59612008449,63767462869,68262383031,60621173676,56097083963,55603295155,56328613777,52193123817,44291499672,49278512170,46688770076,53194262048
Algeria,Gross Domestic Product (GDP),5155120658,5363676160,7176428384,9229622200,13259764650,15555547083,17750032488,20990939140,26373761387,33201433009,42252197741,44264573122,45094842770,48702201863,52827902259,57866207279,62922803868,64333578322,58655419182,55344476937,61751375957,46565003199,49105553595,50846930343,42330711146,41971488420,46836290499,48068457028,48079007974,48531031757,54666896857,55056733057,56819210891,67863851626,85332517817,103198216067,117027277939,134977088396,171000692135,137211008421,161207306305,200019103013,209059083118,209755003251,213809979480,165979118154,160034208045,170096987241,174910894611,179387530004,158974998819,186231676364,225638456572,247626160409
Algeria,"Agriculture, hunting, forestry, fishing (ISIC A-B)",683788307,740679497,877592428,957231511,1137400202,1748652508,1774811335,1795192537,2362276017,2827887802,3402335516,3804724130,3543592643,3503697628,3707466303,4839481907,5645861026,6621903443,6624848951,6856036315,7074612563,4774869579,5941430251,5673542544,4196229340,4166416689,5127063267,4249036439,5587245125,5458106319,4647015416,5392216075,5290017205,6657818547,8055792109,7937297023,8827458433,10218617411,11263264104,12820127465,13648522725,16222244032,18335919885,20663212742,21993348927,19218248623,19556329745,19996432166,20769268927,21874053465,20629826462,20923938129,23947410815,32406301101
Algeria,"Mining, Manufacturing, Utilities (ISIC C-E)",1406309207,1234119718,2020130649,3030075045,6235672504,5910834763,7088189291,8417318822,9579493643,13449014563,18423629877,18643696740,18112759221,18990384530,20506122394,21432962231,18947566529,19399176925,17716467503,16915852534,22161256038,18660901715,17898944261,16916154428,14568674110,15230978757,18195509070,19050275292,15938550376,18072688459,25963413192,23312214203,23195888656,29310172915,38263754894,52270173806,60513130603,67272435054,86770869592,51956688687,65349335626,81951905204,81845206004,73050980697,68992160166,40827722517,37317707045,43495006669,49334505385,42366988217,29703259737,42161905027,70069134489,61733560916
Algeria,Manufacturing (ISIC D),608789886,630168969,807298644,1076165800,1110944454,1296265916,1592473244,1798582841,2387050633,3294995776,3865159333,4040029901,4319597411,4907804395,6230396503,6738734042,8696839398,8194108876,7482707368,5908156519,7065837057,5095171687,5388304531,5187863527,4270757455,3697157510,3460092904,3368896781,3798146618,3505527079,3276999541,3432252902,3452766594,3720883688,4368154143,4601340228,4932646838,5505289469,6330887377,6420143156,6729456789,7321936163,7534709160,7776085063,8340052419,7335318165,7057380824,7347077916,7425054210,9912724872,11562122834,15251548231,23048512808,23017840702
Algeria,Construction (ISIC F),363144476,432569406,621134922,814791285,1040255332,1351080446,1655488366,1946076309,2712422505,3372009523,4306718391,4654868449,5308298540,5956842729,6760124134,7363605738,9424342796,8783940552,7051527804,6591675825,6384069644,4250972214,4677997392,5204283777,4329367993,4010706144,3976081430,4222187348,4518504793,4074545316,3880508899,4150841588,4642702659,5181400989,6365111102,6897507690,8397790830,10574330582,13470903025,13765870493,16052936944,17310164327,18200064357,19772523446,21472067664,18470136321,18216349018,19080249989,19332975280,22850401432,22422050329,25480198377,27063837998,31762771122
Algeria,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",925595828,1049909470,1238525528,1424757152,1257232286,1492362310,1871445046,2341986725,3538670683,4194083383,4938046773,5246692882,5646627401,6020527311,6996982547,7977320698,9336705618,8834368629,8392326045,8063055342,7971154612,6118861299,6486512327,7846330534,6913850785,6502004861,6428953479,6654875071,7126133120,6819624892,6390182381,6805727746,7076595480,7890694454,9294240911,10068167455,11061346518,13628121195,16943268959,17491633227,18875112663,21666548254,23230613220,25719139861,28004047150,24551589129,23589464172,24169410552,23778313823,23577552314,19979254409,21808244446,24744009427,29515499273
Algeria,"Transport, storage and communication (ISIC I)",255414671,276194839,329572630,445224108,600612942,712898934,777136770,992694245,1198580803,1474327941,1897522894,1817599935,1831352736,2207208997,2544334002,2747012956,3271298544,3215104831,2938897562,2651087681,2878310971,2139771717,2469413117,2635999981,2020224264,1982907592,2575126436,2987865278,3328519262,3397446888,3471812532,4135573578,4329678110,5046208749,7113034455,8802694186,10051926180,11666226855,12857006363,11909776795,12552198277,14726883945,15410160716,18433722953,19241938845,16539438807,16450169525,17779438275,17983844741,20495826517,19431479839,21015827860,21294633842,23605909570
Algeria,Other Activities (ISIC J-P),1689381441,1919922181,2345015404,2769319011,3235771152,4440967034,4508454766,5488429290,7570734050,7955864541,9283944290,10096990987,10652212230,12023540668,12312872879,13505823750,1891610734,16028286455,14494271540,11979039671,12677585505,7753432654,10300901416,11053197829,8688475322,8252586263,8893965886,8429559884,9171804622,8694421563,8233100410,9043755860,9280105318,10437659551,12250755095,13079457626,15117283680,19548902039,27288627730,26523520401,31840177138,44545528163,46037514690,44372659943,46593585680,39440710881,38846318268,39077334565,37450492194,40327524894,40815746180,47475865002,50501118085,59835199377
