Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.07155197418,,,,,,,,,,1624.88270913514,,,,,,,,,,,,,,,1648.41307213538,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006.2307852477,,,,,,,,,,1205.5777111173,,,,,,,,,,,,,,,1326.1041259626,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3743.427075308,,,,,,,,,,3899.667157369,,,,,,,,,,,,,,,3928.8336649,,,,,,,,
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817716.384822106,,,,,,,,,,985085.341129209,,,,,,,,,,,,,,,1177545.86969764,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956826.865801645,,,,,,,,,,1161903.36358212,,,,,,,,,,,,,,,1416815.69945214,,,,,,,,
IDA total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139110.480979538,,,,,,,,,,176818.022452913,,,,,,,,,,,,,,,239269.829754504,,,,,,,,
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40932.2493625448,,,,,,,,,,57299.6364281792,,,,,,,,,,,,,,,88815.3258457323,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43593.45193756,,,,,,,,,,56810.41510525,,,,,,,,,,,,,,,67755.1345869,,,,,,,,
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98178.2316169936,,,,,,,,,,119518.386024734,,,,,,,,,,,,,,,150454.503908771,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.69530250086,,,,,,,,,,31.50907463166,,,,,,,,,,,,,,,38.31179957601,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98799.60601408,,,,,,,,,,125554.29766387,,,,,,,,,,,,,,,171839.18292269,,,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.4926512758,,,,,,,,,,976.5798207758,,,,,,,,,,,,,,,1261.3899500179,,,,,,,,
"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9480.5418464223,,,,,,,,,,13197.1021135427,,,,,,,,,,,,,,,16217.1048470459,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3488.0363771179,,,,,,,,,,4482.2222871462,,,,,,,,,,,,,,,6572.9688676668,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.714890102567,,,,,,,,,,94.28706086496,,,,,,,,,,,,,,,107.56003068127,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.5817759416,,,,,,,,,,2233.6876193126,,,,,,,,,,,,,,,2743.7336323641,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18122.179719957,,,,,,,,,,19312.583044819,,,,,,,,,,,,,,,20916.723170164,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.2656167902,,,,,,,,,,900.4417523259,,,,,,,,,,,,,,,1022.3342016496,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053.32480507606,,,,,,,,,,1569.50169499835,,,,,,,,,,,,,,,2170.09018740478,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50992.76311205,,,,,,,,,,52716.86291099,,,,,,,,,,,,,,,53452.06097573,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5659.33129713,,,,,,,,,,5709.25132111,,,,,,,,,,,,,,,6363.38993307,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418.43057029915,,,,,,,,,,2197.79003314991,,,,,,,,,,,,,,,3416.83689169865,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486.192497193,,,,,,,,,,1788.118350045,,,,,,,,,,,,,,,2136.338095941,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.82475996064,,,,,,,,,,1517.03565426344,,,,,,,,,,,,,,,1838.75313177294,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0857272413564,,,,,,,,,,1.333440939431,,,,,,,,,,,,,,,5.187512818374,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.238609624907,,,,,,,,,,10.186737127954,,,,,,,,,,,,,,,11.739576243214,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8036.643562421,,,,,,,,,,10324.50824179,,,,,,,,,,,,,,,12473.407807643,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.2975091176,,,,,,,,,,636.6046667311,,,,,,,,,,,,,,,772.9420164889,,,,,,,,
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81830.4239142819,,,,,,,,,,99210.9178055693,,,,,,,,,,,,,,,117022.00784029,,,,,,,,
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.3509244966,,,,,,,,,,370.37106097,,,,,,,,,,,,,,,542.173193503,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904.83060504933,,,,,,,,,,1160.2180874966,,,,,,,,,,,,,,,1871.96834566438,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.2282873041,,,,,,,,,,516.7008009045,,,,,,,,,,,,,,,652.5563654118,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116.5925070777,,,,,,,,,,2510.010888559,,,,,,,,,,,,,,,2958.151043108,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.14321278874,,,,,,,,,,60.46926231646,,,,,,,,,,,,,,,72.57370005602,,,,,,,,
